Turn,User Text,SNOMED Term,Code,Retrieval Score,Hypothesis,NLI Label,Entailment Score,Neutral Score,Contradiction Score,Decision
10,I cut myself this week. I don’t know why I harm myself like I do.,Feeling suicidal (finding),225457007,0.4543,This person has feeling suicidal (finding).,ENTAILMENT,0.6257,0.3608,0.0135,KEEP
10,I cut myself this week. I don’t know why I harm myself like I do.,Suicidal thoughts (finding),6471006,0.4506,This person has suicidal thoughts (finding).,NEUTRAL,0.0627,0.9276,0.0097,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Compulsive handwashing (finding),247966009,0.5439,This person has compulsive handwashing (finding).,ENTAILMENT,0.8447,0.1543,0.001,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Ritual hand washing (finding),403591002,0.5067,This person has ritual hand washing (finding).,NEUTRAL,0.0986,0.8923,0.0091,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Obsessional thoughts of germs (finding),247882009,0.4253,This person has obsessional thoughts of germs (finding).,NEUTRAL,0.0069,0.992,0.0011,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Compulsive washing (finding),247965008,0.4243,This person has compulsive washing (finding).,ENTAILMENT,0.8861,0.112,0.0019,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Obsessional thoughts of contamination (finding),247879004,0.4007,This person has obsessional thoughts of contamination (finding).,NEUTRAL,0.0077,0.9909,0.0014,KEEP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Complaining of feeling depressed (finding),272022009,0.4589,This person has complaining of feeling depressed (finding).,NEUTRAL,0.0487,0.9469,0.0044,KEEP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Increased motivation (finding),86808004,0.4246,This person has increased motivation (finding).,CONTRADICTION,0.0066,0.0552,0.9382,DROP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Low motivation (finding),26413003,0.3827,This person has low motivation (finding).,NEUTRAL,0.0043,0.9909,0.0048,KEEP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Positive self thoughts (finding),225446002,0.3623,This person has positive self thoughts (finding).,CONTRADICTION,0.0142,0.0773,0.9085,DROP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Depressed mood (finding),366979004,0.3592,This person has depressed mood (finding).,NEUTRAL,0.1581,0.8197,0.0223,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Complaining of feeling depressed (finding),272022009,0.4782,This person has complaining of feeling depressed (finding).,NEUTRAL,0.0495,0.9365,0.014,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Depressive preoccupation (finding),247776002,0.4289,This person has depressive preoccupation (finding).,NEUTRAL,0.1852,0.7808,0.0339,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Depressive delusion of catastrophe (finding),247686005,0.4251,This person has depressive delusion of catastrophe (finding).,NEUTRAL,0.0024,0.9932,0.0045,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Depressed mood (finding),366979004,0.4156,This person has depressed mood (finding).,ENTAILMENT,0.7981,0.1762,0.0256,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Depressive delusion of poverty (finding),247687001,0.4095,This person has depressive delusion of poverty (finding).,NEUTRAL,0.0026,0.9916,0.0058,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Witness of indecent exposure (finding),242973005,0.3546,This person has witness of indecent exposure (finding).,NEUTRAL,0.0291,0.9587,0.0121,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Fear of speaking to people in authority (finding),247842002,0.3516,This person has fear of speaking to people in authority (finding).,NEUTRAL,0.0059,0.9864,0.0077,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Feeling ashamed (finding),225012006,0.3495,This person has feeling ashamed (finding).,ENTAILMENT,0.9219,0.0762,0.0019,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Anxiety about saying the wrong thing (finding),277839000,0.3225,This person has anxiety about saying the wrong thing (finding).,NEUTRAL,0.03,0.9661,0.0039,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Fear of writing in public (finding),247837005,0.3197,This person has fear of writing in public (finding).,NEUTRAL,0.0286,0.9447,0.0267,KEEP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Thoughts of deliberate self harm (finding),401229000,0.3328,This person has thoughts of deliberate self harm (finding).,NEUTRAL,0.0916,0.8956,0.0127,KEEP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Thoughts of self harm (finding),102911000,0.3313,This person has thoughts of self harm (finding).,ENTAILMENT,0.9193,0.074,0.0067,KEEP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Plans for deliberate self harm without intent (finding),401230005,0.2811,This person has plans for deliberate self harm without intent (finding).,CONTRADICTION,0.0017,0.0302,0.9681,DROP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Feeling emotionally hurt (finding),225019002,0.2769,This person has feeling emotionally hurt (finding).,ENTAILMENT,0.9678,0.0313,0.0009,KEEP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Intent of deliberate self harm with detailed plans (finding),401231009,0.2645,This person has intent of deliberate self harm with detailed plans (finding).,NEUTRAL,0.0011,0.9944,0.0045,KEEP
16,I don’t think I’m ready to work on this today.,Feeling tense (finding),263897001,0.3254,This person has feeling tense (finding).,ENTAILMENT,0.8257,0.1741,0.0002,KEEP
16,I don’t think I’m ready to work on this today.,Feeling nervous (finding),424196004,0.3139,This person has feeling nervous (finding).,NEUTRAL,0.0826,0.9166,0.0007,KEEP
16,I don’t think I’m ready to work on this today.,Feeling frustrated (finding),224973000,0.3104,This person has feeling frustrated (finding).,NEUTRAL,0.2533,0.7461,0.0006,KEEP
16,I don’t think I’m ready to work on this today.,Feeling wound up (finding),224970002,0.3012,This person has feeling wound up (finding).,ENTAILMENT,0.6504,0.2507,0.0989,KEEP
16,I don’t think I’m ready to work on this today.,Difficulty making plans (finding),247584000,0.2994,This person has difficulty making plans (finding).,NEUTRAL,0.0362,0.9634,0.0004,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Feeling ashamed (finding),225012006,0.3945,This person has feeling ashamed (finding).,ENTAILMENT,0.9926,0.007,0.0004,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Delusion of own appearance (finding),247696001,0.3243,This person has delusion of own appearance (finding).,NEUTRAL,0.0858,0.8445,0.0697,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Lack of pride (finding),704374004,0.3063,This person has lack of pride (finding).,ENTAILMENT,0.938,0.0489,0.0131,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Delusion concerning appearance (finding),247680004,0.3013,This person has delusion concerning appearance (finding).,NEUTRAL,0.0952,0.8585,0.0463,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Anxiety about appearing ridiculous (finding),277838008,0.2985,This person has anxiety about appearing ridiculous (finding).,ENTAILMENT,0.8998,0.0979,0.0023,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Anxiety about blushing (finding),89225005,0.3157,This person has anxiety about blushing (finding).,NEUTRAL,0.0048,0.9942,0.0009,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Anxiety about saying the wrong thing (finding),277839000,0.3,This person has anxiety about saying the wrong thing (finding).,NEUTRAL,0.004,0.9953,0.0007,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Feeling nervous (finding),424196004,0.298,This person has feeling nervous (finding).,NEUTRAL,0.0142,0.9804,0.0055,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",On examination - fearful mood (finding),417620007,0.2939,This person has on examination - fearful mood (finding).,NEUTRAL,0.0568,0.5962,0.3469,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Communication skills (observable entity),401049002,0.2932,This person has communication skills (observable entity).,NEUTRAL,0.1733,0.808,0.0187,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.",Anticipatory anxiety (finding),35429005,0.5735,This person has anticipatory anxiety (finding).,NEUTRAL,0.0148,0.9676,0.0176,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.",Anxiety (finding),48694002,0.5365,This person has anxiety (finding).,ENTAILMENT,0.8106,0.1353,0.0541,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.","Anticipatory anxiety, moderate (finding)",36646009,0.5327,"This person has anticipatory anxiety, moderate (finding).",NEUTRAL,0.0039,0.992,0.0041,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.","Anticipatory anxiety, mild (finding)",11458009,0.5301,"This person has anticipatory anxiety, mild (finding).",NEUTRAL,0.0022,0.9948,0.003,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.",On examination - fearful mood (finding),417620007,0.5245,This person has on examination - fearful mood (finding).,NEUTRAL,0.3053,0.6423,0.0524,KEEP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Extremely emotionally deprived (finding),284487002,0.4176,This person has extremely emotionally deprived (finding).,NEUTRAL,0.012,0.9791,0.0089,KEEP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Emotionally detached (finding),24936000,0.397,This person has emotionally detached (finding).,CONTRADICTION,0.0007,0.0035,0.9958,DROP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Feeling emotionally hurt (finding),225019002,0.3939,This person has feeling emotionally hurt (finding).,ENTAILMENT,0.9846,0.0152,0.0002,KEEP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Difficulty coping with grief responses (finding),423136007,0.3936,This person has difficulty coping with grief responses (finding).,ENTAILMENT,0.6295,0.3699,0.0006,KEEP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Preoccupied with emotional problems (finding),225001006,0.3806,This person has preoccupied with emotional problems (finding).,ENTAILMENT,0.7716,0.227,0.0014,KEEP
21,"I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to change! I’ve been dealing with this my whole life and I’ve managed.",Fear of not coping with treatment (finding),225631001,0.5528,This person has fear of not coping with treatment (finding).,NEUTRAL,0.0105,0.9877,0.0018,KEEP
21,"I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to change! I’ve been dealing with this my whole life and I’ve managed.",Enduring personality change after psychiatric illness (finding),192498004,0.5317,This person has enduring personality change after psychiatric illness (finding).,NEUTRAL,0.0226,0.9414,0.0359,KEEP
21,"I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to change! I’ve been dealing with this my whole life and I’ve managed.",Anxiety about treatment (finding),225635005,0.487,This person has anxiety about treatment (finding).,NEUTRAL,0.0022,0.996,0.0017,KEEP
21,"I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to change! I’ve been dealing with this my whole life and I’ve managed.",Enduring personality change after catastrophic experience (finding),268729004,0.4822,This person has enduring personality change after catastrophic experience (finding).,CONTRADICTION,0.0033,0.034,0.9627,DROP
21,"I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to change! I’ve been dealing with this my whole life and I’ve managed.",Conflicting attitude towards treatment (finding),704340003,0.464,This person has conflicting attitude towards treatment (finding).,ENTAILMENT,0.956,0.0397,0.0043,KEEP
22,[Shaking and teary] I’m really embarrassed . . . I kind of lied to you about what I thought I could handle in here. I didn’t want to disappoint you or make you feel like this is a waste of time.,Feeling ashamed (finding),225012006,0.3861,This person has feeling ashamed (finding).,ENTAILMENT,0.9947,0.0048,0.0005,KEEP
22,[Shaking and teary] I’m really embarrassed . . . I kind of lied to you about what I thought I could handle in here. I didn’t want to disappoint you or make you feel like this is a waste of time.,Complaining of tearfulness (finding),310480000,0.3795,This person has complaining of tearfulness (finding).,ENTAILMENT,0.9942,0.0048,0.0011,KEEP
22,[Shaking and teary] I’m really embarrassed . . . I kind of lied to you about what I thought I could handle in here. I didn’t want to disappoint you or make you feel like this is a waste of time.,Emotionally subdued (finding),225650001,0.3303,This person has emotionally subdued (finding).,CONTRADICTION,0.0031,0.0005,0.9964,DROP
22,[Shaking and teary] I’m really embarrassed . . . I kind of lied to you about what I thought I could handle in here. I didn’t want to disappoint you or make you feel like this is a waste of time.,Emotional upset (finding),309838005,0.3295,This person has emotional upset (finding).,ENTAILMENT,0.9948,0.0046,0.0006,KEEP
22,[Shaking and teary] I’m really embarrassed . . . I kind of lied to you about what I thought I could handle in here. I didn’t want to disappoint you or make you feel like this is a waste of time.,Emotional immaturity (finding),76187003,0.3178,This person has emotional immaturity (finding).,NEUTRAL,0.472,0.4981,0.0299,DROP
23,"My partner broke up with me today. I know it’s stupid, but I really thought we were going to get married.",Breakup of romance (finding),105416005,0.4387,This person has breakup of romance (finding).,ENTAILMENT,0.9741,0.0227,0.0032,KEEP
23,"My partner broke up with me today. I know it’s stupid, but I really thought we were going to get married.",Pressured by partner (finding),225806000,0.3136,This person has pressured by partner (finding).,NEUTRAL,0.0705,0.9189,0.0105,KEEP
23,"My partner broke up with me today. I know it’s stupid, but I really thought we were going to get married.",Personal relationship breakdown (finding),105414008,0.3026,This person has personal relationship breakdown (finding).,ENTAILMENT,0.9717,0.0258,0.0025,KEEP
23,"My partner broke up with me today. I know it’s stupid, but I really thought we were going to get married.",Partner relationship problem (finding),1041000119100,0.2894,This person has partner relationship problem (finding).,NEUTRAL,0.0324,0.9373,0.0303,KEEP
23,"My partner broke up with me today. I know it’s stupid, but I really thought we were going to get married.",Feeling emotionally hurt (finding),225019002,0.2745,This person has feeling emotionally hurt (finding).,NEUTRAL,0.0167,0.9831,0.0002,KEEP
24,[Shaking and weeping] This is not something I can get into without hysterically crying. That’s why I avoid it.,Fear of shaking (finding),247819009,0.3193,This person has fear of shaking (finding).,NEUTRAL,0.0505,0.9212,0.0283,KEEP
24,[Shaking and weeping] This is not something I can get into without hysterically crying. That’s why I avoid it.,Terrified (finding),225634009,0.3189,This person has terrified (finding).,NEUTRAL,0.2224,0.7347,0.0429,KEEP
24,[Shaking and weeping] This is not something I can get into without hysterically crying. That’s why I avoid it.,Fear of general anesthetic (finding),247857009,0.3087,This person has fear of general anesthetic (finding).,NEUTRAL,0.0017,0.9935,0.0048,KEEP
24,[Shaking and weeping] This is not something I can get into without hysterically crying. That’s why I avoid it.,Fear of wetting self (finding),247810008,0.3046,This person has fear of wetting self (finding).,NEUTRAL,0.0619,0.902,0.0362,KEEP
24,[Shaking and weeping] This is not something I can get into without hysterically crying. That’s why I avoid it.,Fear of anesthetic (finding),247856000,0.3012,This person has fear of anesthetic (finding).,NEUTRAL,0.0038,0.9943,0.0019,KEEP
25,"[Head in hands, sobbing without speaking]",Guided mourning (finding),304636008,0.4289,This person has guided mourning (finding).,ENTAILMENT,0.9063,0.0912,0.0024,KEEP
25,"[Head in hands, sobbing without speaking]",Working through the pain of grief (finding),225023005,0.4283,This person has working through the pain of grief (finding).,NEUTRAL,0.0263,0.969,0.0047,KEEP
25,"[Head in hands, sobbing without speaking]",Complicated grieving (finding),427589004,0.4205,This person has complicated grieving (finding).,NEUTRAL,0.0314,0.9676,0.001,KEEP
25,"[Head in hands, sobbing without speaking]",Crying (observable entity),28263002,0.4178,This person has crying (observable entity).,ENTAILMENT,0.9975,0.0021,0.0003,KEEP
25,"[Head in hands, sobbing without speaking]",Dysfunctional grieving (finding),53339009,0.4151,This person has dysfunctional grieving (finding).,NEUTRAL,0.041,0.7973,0.1617,KEEP
