Turn,User Text,SNOMED Term,Code,Retrieval Score,Hypothesis,NLI Label,Entailment Score,Neutral Score,Contradiction Score,Decision
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Wakefulness finding (finding),365930002,0.4107,"This person has wakefulness finding (finding), which involves psychological function (observable entity), wakefulness (observable entity).",CONTRADICTION,0.0349,0.2822,0.6829,DROP
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Ready for enhanced sleep pattern (finding),427448000,0.347,"This person has ready for enhanced sleep pattern (finding), which involves psychological function (observable entity), readiness (observable entity), sleep behavior (observable entity).",CONTRADICTION,0.0028,0.017,0.9802,DROP
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Drowsy (finding),271782001,0.3176,"This person has drowsy (finding), which involves psychological function (observable entity), level of consciousness (observable entity), wakefulness (observable entity), drowsiness, function (observable entity).",ENTAILMENT,0.6382,0.2615,0.1003,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Feeling a failure (finding),225010003,0.4486,"This person has feeling a failure (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.3225,0.6717,0.0058,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Feeling intoxicated (finding),102897001,0.4363,"This person has feeling intoxicated (finding), which involves psychological function (observable entity), emotion (observable entity).",ENTAILMENT,0.8435,0.1382,0.0183,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Perceptual disturbance due to alcohol withdrawal (finding),288041000119101,0.3789,"This person has perceptual disturbance due to alcohol withdrawal (finding), which involves psychological function (observable entity).",NEUTRAL,0.4245,0.5704,0.0052,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Dysfunctional family due to alcoholism (finding),129878006,0.3737,"This person has dysfunctional family due to alcoholism (finding), which involves psychological function (observable entity).",NEUTRAL,0.0034,0.9888,0.0078,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Alcoholic parent (finding),133940008,0.3496,"This person has alcoholic parent (finding), which involves psychological function (observable entity).",NEUTRAL,0.1281,0.7984,0.0735,KEEP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Feeling unloved (finding),225018005,0.3337,"This person has feeling unloved (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.1227,0.8742,0.0031,KEEP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Feeling unwanted (finding),225017000,0.2976,"This person has feeling unwanted (finding), which involves psychological function (observable entity), emotion (observable entity).",ENTAILMENT,0.9066,0.0909,0.0025,KEEP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Attitude towards treatment (observable entity),704397001,0.2803,This person has attitude towards treatment (observable entity).,ENTAILMENT,0.9594,0.0395,0.0011,KEEP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Empathic character (finding),286733009,0.2741,"This person has empathic character (finding), which involves psychological function (observable entity).",NEUTRAL,0.0099,0.9777,0.0124,KEEP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Feeling emotionally hurt (finding),225019002,0.2727,"This person has feeling emotionally hurt (finding), which involves psychological function (observable entity), emotion (observable entity).",ENTAILMENT,0.9136,0.085,0.0013,KEEP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Adjustment to life threatening illness (finding),93831000119104,0.3554,"This person has adjustment to life threatening illness (finding), which involves psychological function (observable entity), functional observable (observable entity), emotion (observable entity), ability to cope (observable entity), emotional adjustment (observable entity).",NEUTRAL,0.38,0.5978,0.0223,KEEP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Post-traumatic mutism (disorder),229675006,0.3505,"This person has post-traumatic mutism (disorder), which involves psychological function (observable entity).",NEUTRAL,0.0159,0.9379,0.0461,KEEP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Loss of interest in previously enjoyable activity (finding),417523004,0.3302,"This person has loss of interest in previously enjoyable activity (finding), which involves psychological function (observable entity), level of interest (observable entity).",ENTAILMENT,0.6794,0.3171,0.0035,KEEP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Fear of walking (finding),225625004,0.3065,"This person has fear of walking (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0138,0.9728,0.0134,KEEP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Coming to terms with dying (finding),304243005,0.2981,"This person has coming to terms with dying (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0213,0.9755,0.0033,KEEP
10,I cut myself this week. I don’t know why I harm myself like I do.,Thoughts of self harm (finding),102911000,0.5822,"This person has thoughts of self harm (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",ENTAILMENT,0.6899,0.2894,0.0207,KEEP
10,I cut myself this week. I don’t know why I harm myself like I do.,Thoughts of deliberate self harm (finding),401229000,0.5756,"This person has thoughts of deliberate self harm (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0085,0.9403,0.0512,KEEP
10,I cut myself this week. I don’t know why I harm myself like I do.,Obsessional thoughts of causing harm to self (finding),271953006,0.515,"This person has obsessional thoughts of causing harm to self (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0018,0.9936,0.0046,KEEP
10,I cut myself this week. I don’t know why I harm myself like I do.,Feeling suicidal (finding),225457007,0.4543,"This person has feeling suicidal (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0791,0.914,0.0069,KEEP
10,I cut myself this week. I don’t know why I harm myself like I do.,Suicidal thoughts (finding),6471006,0.4506,"This person has suicidal thoughts (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0614,0.9316,0.007,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Compulsive handwashing (finding),247966009,0.5439,"This person has compulsive handwashing (finding), which involves psychological function (observable entity), behavior observable (observable entity).",NEUTRAL,0.2461,0.7518,0.0021,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Ritual hand washing (finding),403591002,0.5067,"This person has ritual hand washing (finding), which involves psychological function (observable entity), behavior observable (observable entity), emotion (observable entity).",NEUTRAL,0.0367,0.9599,0.0034,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Obsessional thoughts of germs (finding),247882009,0.4253,"This person has obsessional thoughts of germs (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0082,0.9908,0.001,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Compulsive washing (finding),247965008,0.4243,"This person has compulsive washing (finding), which involves psychological function (observable entity), behavior observable (observable entity).",NEUTRAL,0.2544,0.7415,0.0041,KEEP
11,"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Obsessional thoughts of contamination (finding),247879004,0.4007,"This person has obsessional thoughts of contamination (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0108,0.9878,0.0013,KEEP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Complaining of feeling depressed (finding),272022009,0.4589,"This person has complaining of feeling depressed (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0655,0.9293,0.0052,KEEP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Increased motivation (finding),86808004,0.4246,"This person has increased motivation (finding), which involves psychological function (observable entity), drive (observable entity).",NEUTRAL,0.0088,0.9418,0.0495,KEEP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Low motivation (finding),26413003,0.3827,"This person has low motivation (finding), which involves psychological function (observable entity), drive (observable entity).",NEUTRAL,0.0021,0.9928,0.0051,KEEP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Positive self thoughts (finding),225446002,0.3623,"This person has positive self thoughts (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0201,0.9686,0.0113,KEEP
12,You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Depressed mood (finding),366979004,0.3592,"This person has depressed mood (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0223,0.9735,0.0042,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Complaining of feeling depressed (finding),272022009,0.4782,"This person has complaining of feeling depressed (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0118,0.9825,0.0057,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Depressive preoccupation (finding),247776002,0.4289,"This person has depressive preoccupation (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0064,0.9884,0.0052,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Depressive delusion of catastrophe (finding),247686005,0.4251,"This person has depressive delusion of catastrophe (finding), which involves psychological function (observable entity), cognitive functions (observable entity), inaccurate judgement (observable entity).",NEUTRAL,0.0023,0.9937,0.004,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Depressed mood (finding),366979004,0.4156,"This person has depressed mood (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.012,0.9832,0.0049,KEEP
13,"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Depressive delusion of poverty (finding),247687001,0.4095,"This person has depressive delusion of poverty (finding), which involves psychological function (observable entity), cognitive functions (observable entity), inaccurate judgement (observable entity).",NEUTRAL,0.0019,0.9939,0.0041,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Witness of indecent exposure (finding),242973005,0.3546,"This person has witness of indecent exposure (finding), which involves psychological function (observable entity), sexual relationship details (observable entity), functional observable (observable entity).",NEUTRAL,0.335,0.6483,0.0168,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Fear of speaking to people in authority (finding),247842002,0.3516,"This person has fear of speaking to people in authority (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0111,0.9817,0.0072,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Feeling ashamed (finding),225012006,0.3495,"This person has feeling ashamed (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.153,0.8429,0.004,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Anxiety about saying the wrong thing (finding),277839000,0.3225,"This person has anxiety about saying the wrong thing (finding), which involves psychological function (observable entity), emotion (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0269,0.9686,0.0045,KEEP
14,"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Fear of writing in public (finding),247837005,0.3197,"This person has fear of writing in public (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0146,0.9776,0.0078,KEEP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Thoughts of deliberate self harm (finding),401229000,0.3328,"This person has thoughts of deliberate self harm (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.1175,0.8539,0.0286,KEEP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Thoughts of self harm (finding),102911000,0.3313,"This person has thoughts of self harm (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",ENTAILMENT,0.9315,0.0626,0.0059,KEEP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Plans for deliberate self harm without intent (finding),401230005,0.2811,"This person has plans for deliberate self harm without intent (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0369,0.5769,0.3862,KEEP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Feeling emotionally hurt (finding),225019002,0.2769,"This person has feeling emotionally hurt (finding), which involves psychological function (observable entity), emotion (observable entity).",ENTAILMENT,0.9493,0.0474,0.0033,KEEP
15,"I cut myself again, so my fiancé got worried and stayed home from work again.",Intent of deliberate self harm with detailed plans (finding),401231009,0.2645,"This person has intent of deliberate self harm with detailed plans (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0228,0.9685,0.0087,KEEP
16,I don’t think I’m ready to work on this today.,Feeling tense (finding),263897001,0.3254,"This person has feeling tense (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0428,0.9494,0.0077,KEEP
16,I don’t think I’m ready to work on this today.,Feeling nervous (finding),424196004,0.3139,"This person has feeling nervous (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0133,0.9831,0.0036,KEEP
16,I don’t think I’m ready to work on this today.,Feeling frustrated (finding),224973000,0.3104,"This person has feeling frustrated (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0441,0.9555,0.0003,KEEP
16,I don’t think I’m ready to work on this today.,Feeling wound up (finding),224970002,0.3012,"This person has feeling wound up (finding), which involves psychological function (observable entity), emotion (observable entity).",ENTAILMENT,0.5199,0.4524,0.0277,KEEP
16,I don’t think I’m ready to work on this today.,Difficulty making plans (finding),247584000,0.2994,"This person has difficulty making plans (finding), which involves psychological function (observable entity), cognitive functions (observable entity), decision making (observable entity), ability to plan (observable entity).",NEUTRAL,0.1014,0.898,0.0006,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Feeling ashamed (finding),225012006,0.3945,"This person has feeling ashamed (finding), which involves psychological function (observable entity), emotion (observable entity).",ENTAILMENT,0.9927,0.0071,0.0002,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Delusion of own appearance (finding),247696001,0.3243,"This person has delusion of own appearance (finding), which involves psychological function (observable entity), cognitive functions (observable entity), inaccurate judgement (observable entity).",NEUTRAL,0.034,0.9539,0.0122,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Lack of pride (finding),704374004,0.3063,"This person has lack of pride (finding), which involves psychological function (observable entity).",ENTAILMENT,0.9487,0.0384,0.0129,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Delusion concerning appearance (finding),247680004,0.3013,"This person has delusion concerning appearance (finding), which involves psychological function (observable entity), cognitive functions (observable entity), inaccurate judgement (observable entity).",NEUTRAL,0.0446,0.9422,0.0132,KEEP
17,I’m so embarrassed. I’m an ugly crier.,Anxiety about appearing ridiculous (finding),277838008,0.2985,"This person has anxiety about appearing ridiculous (finding), which involves psychological function (observable entity), emotion (observable entity), cognitive functions (observable entity).",NEUTRAL,0.3475,0.6392,0.0133,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Anxiety about blushing (finding),89225005,0.3157,"This person has anxiety about blushing (finding), which involves psychological function (observable entity), emotion (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0061,0.9927,0.0012,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Anxiety about saying the wrong thing (finding),277839000,0.3,"This person has anxiety about saying the wrong thing (finding), which involves psychological function (observable entity), emotion (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0067,0.992,0.0013,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Feeling nervous (finding),424196004,0.298,"This person has feeling nervous (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0065,0.9896,0.0039,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",On examination - fearful mood (finding),417620007,0.2939,"This person has on examination - fearful mood (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0124,0.9788,0.0089,KEEP
18,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Communication skills (observable entity),401049002,0.2932,This person has communication skills (observable entity).,NEUTRAL,0.1733,0.808,0.0187,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.",Anticipatory anxiety (finding),35429005,0.5735,"This person has anticipatory anxiety (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0049,0.9915,0.0036,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.",Anxiety (finding),48694002,0.5365,"This person has anxiety (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.1999,0.7858,0.0143,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.","Anticipatory anxiety, moderate (finding)",36646009,0.5327,"This person has anticipatory anxiety, moderate (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0042,0.993,0.0029,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.","Anticipatory anxiety, mild (finding)",11458009,0.5301,"This person has anticipatory anxiety, mild (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0031,0.9945,0.0023,KEEP
19,"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.",On examination - fearful mood (finding),417620007,0.5245,"This person has on examination - fearful mood (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0865,0.8954,0.0182,KEEP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Extremely emotionally deprived (finding),284487002,0.4176,"This person has extremely emotionally deprived (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.007,0.9913,0.0017,KEEP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Emotionally detached (finding),24936000,0.397,"This person has emotionally detached (finding), which involves psychological function (observable entity), emotion (observable entity), expression of emotions (observable entity).",CONTRADICTION,0.0369,0.2744,0.6887,DROP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Feeling emotionally hurt (finding),225019002,0.3939,"This person has feeling emotionally hurt (finding), which involves psychological function (observable entity), emotion (observable entity).",ENTAILMENT,0.9732,0.0266,0.0002,KEEP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Difficulty coping with grief responses (finding),423136007,0.3936,"This person has difficulty coping with grief responses (finding), which involves psychological function (observable entity), social / personal history observable (observable entity), emotion (observable entity), ability to cope (observable entity).",NEUTRAL,0.1561,0.8438,0.0002,KEEP
20,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Preoccupied with emotional problems (finding),225001006,0.3806,"This person has preoccupied with emotional problems (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.173,0.8242,0.0028,KEEP
21,"I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to change! I’ve been dealing with this my whole life and I’ve managed.",Fear of not coping with treatment (finding),225631001,0.5528,"This person has fear of not coping with treatment (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0122,0.9857,0.0021,KEEP
