User Query,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5
"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Feeling of embarrassment,Panic attack,Feeling of being stared at,Feeling of guilt,Blame
"I cut myself again, so my fiancé got worried and stayed home from work again.",Self-harm,Worry,Concern,Absenteeism from work,Emotional distress
I don’t think I’m ready to work on this today.,Reluctance,Lack of motivation,Hesitation,Resistance,Readiness to change (finding)
I’m so embarrassed. I’m an ugly crier.,Feeling of shame,Self-perceived unattractiveness,Distorted body image,Appearance-related distress,Emotional distress
"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Anxiety,Deflection,Nervousness,Avoidance behavior,Change in employment plan
"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.",Feeling anxious,Feeling apprehensive,Feeling uncertain,Rumination,Expression of doubt
"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Crying,Feeling of uncertainty,Lack of improvement,Feeling of being unchanged,Subjective experience of treatment
"I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to change! I’ve been dealing with this my whole life and I’ve managed.",Feeling of resignation,Resistance to change,Belief about coping,Dismissing of severity,Feeling of acceptance
[Shaking and teary] I’m really embarrassed . . . I kind of lied to you about what I thought I could handle in here. I didn’t want to disappoint you or make you feel like this is a waste of time.,Feeling embarrassed,Feeling disappointed,Feeling worried,Tearfulness,Shaking
"My partner broke up with me today. I know it’s stupid, but I really thought we were going to get married.",Feeling sad,Feeling lonely,Feeling disappointed,Feeling regretful,Intrusive thought
[Shaking and weeping] This is not something I can get into without hysterically crying. That’s why I avoid it.,Weeping,Shaking,Emotional lability,Distress,Avoidance behavior
"[Head in hands, sobbing without speaking]",Crying,Sobbing,Expressive behavior,Body posture,Nonverbal communication
What we’re doing in here is so stupid!,Feeling of futility,Negative thought,Dislike,Frustration,Annoyance
[Very anxious] I feel like I’m going to have a panic attack or faint!,Feeling anxious,Fear of fainting,Apprehension,Feeling overwhelmed,Physical sensation of fear
"[Disgusted, looking away] Ugh. Ahh. That is disgusting! I am not looking at that or touching it!",Disgust,Aversion,Rejection,Avoidance behavior,Facial expression
"[Crying, raised voice] I can’t do this!",Crying,Raised voice,Expression of inability,Emotional distress,Verbal expression
"You don’t understand. I want to stop feeling sad, not practice feeling sad. I’m already pretty freaking great at feeling bad. So, I really don’t need more practice at that!",Feeling Sad,Feeling Bad,Emotional Distress,Desire to Avoid Feelings,Unwanted Feelings
Oh my god . . . Oh my god . . . I’m dying! I can’t breathe! Help me!,Feeling of breathlessness,Feeling of death,Feeling of fear,Expressing distress,Verbal exclamation
I don’t think you really care about me! You just pretend to like me because it’s your job!,Feeling distrustful,Feeling of being used,Suspiciousness,Feeling of being devalued,Expressing negative feelings
I’m still trying to get the hang of identifying my thoughts. What should I plan for next week?,Self-awareness,Thought content,Planning,Cognitive process,Future anticipation
I know I’m a terrible mother.,Self-critical thought,Feeling of worthlessness,Self-blame,Guilt,Negative self-perception
I’m a total failure.,Feeling of worthlessness,Negative thought,Self-critical thought,Unfavorable self evaluation,Belief about failure
I know the job interview is going to go poorly; they always do.,Negative expectation,Self-deprecating thoughts,Pessimistic thought,Anxiety about social situations,Rumination
I don’t really know anyone who will be at this party. I know I’ll be miserable.,Feeling of loneliness,Feeling of unhappiness,Feeling of being uncomfortable,Anticipation of negative experience,Feeling of isolation
You talk about the importance of thoughts . . . I’m already very aware of my negative thoughts.,Negative thought,Self-observing thought,Intrusive thought,Automatic negative thought,Thought content
"When we work through these thought records, it’s not hard to come up with alternative evidence and thoughts, but it feels artificial and doesn’t really make me feel better.",Feeling of inauthenticity,Cognitive artificiality,Lack of subjective improvement,Intellectualization,Lack of emotional impact
I was feeling hopeless and didn’t want to come in today.,Feeling of hopelessness,Lack of desire to attend,Subjective feeling of discomfort,Loss of hope,Reluctance to attend
How will focusing more on these negative thoughts and feelings make me feel better rather than just feel worse?,Feeling worse,Negative affect,Thought content,Feeling better,Cognitive process
"I don’t know... when things get intense, I just act. I don’t have any thoughts; I just act or react.",Impulsive behavior,Acting out,Lack of forethought,Reactive behavior,Loss of control
My boss’s evaluation of me was devastating. I’m at a loss. There is no other perspective on this.,Feeling of being overwhelmed,Feeling of helplessness,Loss of direction,Feeling of disorientation,Distorted thought
"You’re telling me that if my partner died, I should be fine with it?!",Disbelief,Emotional distress,Anger,Shock,Incredulity
"Why do you just keep asking questions, over and over again? It’s really frustrating not to get anything more direct from you.",Frustration,Feeling annoyed,Feeling irritated,Repetitive questioning,Lack of directness
"I did what you suggested about my thoughts, and it really helped in the moment. Every time I had a negative thought, I just told myself the opposite.",Self-observing,Thought stopping,Cognitive technique,Cognitive restructuring,Behavioral strategy
"I don’t like this or find it helpful. My thoughts aren’t irrational or baseless, so I actually find it kind of invalidating and insulting.",Dislike,Lack of helpfulness,Invalidation,Insult,Unpleasant feeling
"I know I sometimes think in extremes, but what if the worst thing actually did happen? It could.",Worry,Intrusive thought,Catastrophic thinking,Rumination,Anxiety
I feel like I’m getting the hang of objective monitoring.,Feeling of competence,Feeling of understanding,Sense of mastery,Feeling of control,Improved ability
I’m still trying to get the hang of identifying my thoughts. Should I plan for anything next week?,Self-awareness of thought,Planning,Future anticipation,Thought process,Cognitive process
"OK, what do we do now that we’ve created an exposure hierarchy?",,,,,
What do we do next with this exposure thing?,Exposure,Reaction to an event,Thought,Concern,Feeling
"[Curious, after emotion monitoring homework was assigned at the end of the previous session] Where should we start today?",Readiness to be discharged,Request for information,Engagement in therapeutic process,Follow-up of therapeutic activity,Questioning
I’m not sure I’m ready to do this on my own.,Feeling of uncertainty,Lack of confidence,Hesitation,Need for assistance,Feeling of being overwhelmed
"I have a hard time with organization, so I’m worried about doing all of the homework correctly",Difficulty with organisation,Worry,Concern,Task performance,Difficulty with planning
I actually need to be out the door right now. Is there anything that I should do before our next session?,Need to leave,Sense of urgency,Time perception,Impatience,Concern about future session
I did some of what we talked about last week but forgot the forms.,Adherence to advice,Forgetfulness,,,
I was only able to do part of what we talked about last week.,Partial achievement of plan,,,,
I don’t expect this assignment to help.,Lack of hope,Pessimistic thought,Negative thought,Feeling of futility,Self-deprecating thought
I’m too swamped; I don’t think I’ll have the time to do any homework.,Feeling overwhelmed,Time pressure,Lack of time,Procrastination,Sense of being burdened
I’m just not getting it. I don’t understand what you’re asking me to do for the homework.,Difficulty understanding,Lack of comprehension,Confusion,Cognitive difficulty,Impaired understanding
I just don’t think I can do this homework on my own.,Feeling overwhelmed,Difficulty concentrating,Self-doubt,Feeling inadequate,Lack of confidence
"I successfully did the homework! However, it made me very nervous, so I had a few drinks beforehand. This is OK, right? I hope you don’t judge my drinking, like my wife and boss do.",Anxiety,Nervousness,Feeling of being judged,Alcohol consumption,Feeling of relief
"Whenever I have trouble motivating to do the homework, I think of how happy I will feel telling you that I did it. Your approval means everything to me. I honestly think you’re the best therapist I’ve ever met.",Feeling of being approved of,Positive feeling about other,Desire for approval,Feeling of satisfaction,Thought content related to reward
"I didn’t do the homework. It didn’t seem like it was that important, to be honest.",Lack of motivation,Procrastination,Reduced engagement,Dismissing importance,Disregard for duty
Is this approach helpful for people like me?,Concern about self,Self-assessment,Self-perception,Questioning of effectiveness,Inquiry
How does therapy work?,,,,,
I’ve never been in therapy before. What do we talk about here?,Concern about mental state,Lack of experience with psychotherapy,Expectation about therapeutic process,Inquiry about therapeutic process,Need for information
I’ve never been in therapy before. Do we just talk about my past or upbringing?,Exploration of past experiences,Discussion of upbringing,Client's questions about therapeutic process,Client's feelings about therapy,Client's expectations about therapy
I’m not sure I understand how talking about my feelings will help.,Doubt about efficacy of treatment,Lack of understanding of intervention,Questioning of therapeutic approach,Uncertainty about benefit of intervention,Apprehension about disclosing feelings
"I have a hard time with organization, so I’m worried about doing all of the homework correctly.",Difficulty with organization,Worry,Concern,Difficulty performing a task,Feeling of apprehension
I’m not sure this is the right thing for me.,Uncertainty about decision,Doubt,Hesitation,Apprehension,Feeling of being unsure
"The things that you’re saying make sense. I can see how this way of working would be helpful to other people, but I’m not sure it is a good fit for me.",Appraisal of situation,Self-perception,Cognitive discrepancy,Understanding,Agreement
"I’ve had bad experiences in therapy before, and I’m unsure if it’s really helpful. How is this going to be different?",Lack of confidence in therapeutic intervention,Concern about effectiveness of treatment,Doubt about therapeutic process,Past adverse experience of therapy,Uncertainty about benefit of therapy
How long will it take for this to work? I don’t have a lot of time or money.,Concern about finances,Concern about time,Expectation of therapeutic effect,Impatience,Worry
I’ve had bad experiences in therapy before. My last therapist tried to make me talk about and visualize my past traumas. I ended up in the hospital! How can I know that I can trust you?,Feeling of being let down,Feeling of apprehension,Distrust,Concern about therapeutic approach,Feeling of vulnerability
"I was abused when I was a child, and recently I can’t stop thinking about it. My boyfriend tries to help me be positive, but I can’t stop feeling depressed. Sometimes I think it would be easier for everyone if I was dead.",Feeling depressed,Intrusive idea,Suicidal ideation,Feeling sad,Difficulty relating to others
"My doctor said I have to come see you about my “anger problem.” Sometimes when I get really angry, I lose control and hit people. I just get so angry when people say stupid things! Are you sure that you will be able to help me with this?",Aggressive behavior,Loss of control,Angry feelings,Irritability,Hostile behavior
"I really need to know why I am the way I am now. I think understanding my past and childhood is really important, but it sounds like this approach doesn’t get into any of that?",Need to know,Thought,Belief about self,Self-perception,Personal history
I’m not sure what to talk about today.,Unwillingness to communicate,Hesitation,Speech difficulty,Lack of ideas,Difficulty expressing oneself
"So, what’s our agenda for today?",,,,,
I don’t think I’m ready for working on this today.,Reluctance,Unwillingness,Hesitation,Lack of preparedness,Deferred action
Sorry I’m so late. I had the wrong time in my calendar.,Missed appointment,Time perception disturbance,Apology,,
"I’m not sure about an agenda. With my other therapist, I just kind of talked about whatever was on my mind.",Lack of direction,Uncertainty about plans,Spontaneity,Free association,Reported change in therapeutic approach
"You’re the expert, so just tell me what to do today",Request for advice,Seeking guidance,Desire for direction,Expression of uncertainty,Reported need for assistance
"I know that the plan was to talk about exposure today, but something’s come up that I’d like to talk about first.",Need to discuss,Urgency,Shift in focus,Unexpected topic,Change in plan
My partner wants us to talk about something today.,,,,,
I’m not sure this is the best use of my time today.,Doubt,Uncertainty,Apprehension,Worry,Hesitation
Wow. You won’t believe what happened this week. It’s a really long story . . .,Reported experience,Narrative,Account,Communication,Subjective experience
"This week has been terrible, and I don’t feel like talking today.",Reluctance to communicate,Feeling of being overwhelmed,Subjective experience of distress,Lack of interest,Feeling sad
"I think our sessions have been very helpful. However, my depression is getting worse. On my drive to this session today. I pictured myself driving off a bridge. It honestly felt like a relief to imagine not having to work so hard to feel better anymore.",Suicidal thought,Feeling of relief,Intrusive thought,Feeling of hopelessness,Self-directed fantasy
"The agenda sounds fine, I suppose. I don’t know. I don’t think this is working, so I’m not sure it matters.",Uncertainty about plan,Lack of confidence,Doubt,Indecision,Feeling of futility
"To be honest, the last couple of sessions I’ve been confused by our focus on my challenges. My family says I should just stay positive, smile more, and not think about anything negative. Do we have to discuss my challenges?",Feeling of being misunderstood,Expression of uncertainty,Feeling of being pressured,Feeling of being conflicted,Concern about advice
I read an article on the internet that a new energy-healing technique can help people 10 times faster than CBT and is easy for therapists to learn. I brought a printout of the article with instructions. Can we talk about possibly trying that today?,Belief about treatment,Reported finding,Seeking information,Expressing hope,Discussion of therapeutic intervention
I just want to be happier.,Feeling of well-being,Positive affect,Desire to be happy,Subjective experience of happiness,Mood state
Geez. I don’t even know where to start in picturing my happiness.,Difficulty imagining positive emotions,Feeling of hopelessness,Lack of enjoyment,Inability to experience pleasure,Emotional blunting
I just don’t want to feel anxious anymore. I’m tired of it.,Feeling anxious,Feeling tired,Unwanted feeling,State of being annoyed,Subjective experience
How long will this take?,Concern about duration of process,,,,
"You’re the expert, so I’ll defer to what you think is best.",,,,,
I guess I was expecting that we’d just talk about whatever came to my mind on a given week.,Expectation,Thought,Conversation,Spontaneity,Mind
I’m not sure I want to do homework or exercises in here.,Lack of motivation,Reluctance,Hesitation,Resistance to activity,Unwillingness
I just can’t imagine anything changing. I feel so hopeless.,Feeling of hopelessness,Lack of optimism,Pessimistic thought,Feeling of being trapped,Inability to imagine alternatives
I don’t think I want to do any exposure.,Reluctance to engage in activity,Lack of motivation,Resistance to change,Hesitation,Avoidance behavior
"Honestly, my main problem is my partner.",Relationship problem,Interpersonal relationship difficulty,Concern about a family member,Conflict,Feeling let down
"I want to get a job, find a new partner, lose weight, be happier and less anxious, be more outgoing, and work on some my grief issues.",Feeling anxious,Feeling sad,Desire to be happier,Desire to have a partner,Desire to lose weight
I think there’s a problem with my brain and I might just need medication.,Thought of problem,Feeling of need,Concern about body function,Belief about needing medication,Feeling apprehensive
"I can’t commit to coming in here each week. My schedule is unpredictable, and I don’t have a car.",Difficulty adhering to instructions,Inability to attend,Unpredictable schedule,Lack of transport,Commitment difficulty
"I don’t think this is going to work, so I’m not sure setting goals matters.",Lack of confidence,Pessimistic outlook,Doubt,Hopelessness,Uncertainty
You just need goals to write down for the insurance companies so you get paid for this.,Documentation activity,Request for payment,Goal,Written communication,Administrative task
It’s hard to come up with goals because I’m not really sure what we’re doing in here.,Feeling of uncertainty,Lack of direction,Difficulty with planning,Feeling of confusion,Difficulty understanding situation
"Well, I’m not really sure about it, but I guess I’ll give the thought record another shot if you think that’s best.",Uncertainty about decision,Hesitation,Thought,Self-perception,Willingness
"I’m not sure where to start, or what to prioritize on today’s agenda. Sorry.",Feeling overwhelmed,Feeling uncertain,Difficulty with planning,Difficulty with prioritization,Apologetic behaviour
"[Sad, withdrawn] I just don’t know what to say or do anymore . . . to you—or anyone.",Withdrawal from social interaction,Sadness,Speechlessness,Feeling of helplessness,Lack of communication
I feel like you’ve been hearing me wrong since we started. You don’t seem to understand what I mean. Are you even listening?,Feeling of being misunderstood,Suspicion of impaired communication,Concern about listener comprehension,Questioning of listener attentiveness,Feeling of being disregarded
"That was a really abrupt ending last session. I know we only have an hour, but I was kind of in the middle of something. That’s been on my mind ever since. I even considered not coming today . . . I guess I’ve been a little pissed off about it.",Feeling of being interrupted,Feeling of resentment,Thought of avoiding a situation,Feeling of annoyance,Persistent thought
"Are you all here today? No offense, doc, but your mind seems elsewhere.",Appearance of detachment,Distractibility,Lack of engagement with surroundings,Unresponsiveness,Absence of affect
"Whelp, the homework was another big swing and miss. Made no sense. Can we not do that one again?",Feeling of being overwhelmed,Feeling of frustration,Difficulty understanding,Negative mood,Inability to comprehend
"I just don’t think you’re equipped to help me. The whole “cognitive triad” thing, or whatever you called it, seems bogus.",Doubt about efficacy of treatment,Disagreement with therapist,Lack of confidence in therapist,Questioning of therapeutic approach,Distrust of healthcare provider
"Now you just seem to be playing a psychologist . . . like the cliché ones on TV. But I guess you’re the expert, so tell me what’s next please.",Feeling of being misunderstood,Feeling of being manipulated,Sarcasm,Suspicion,Behavioral response to perceived criticism
My mother was trying to remind me to “check in” on my thoughts and breathing yesterday. So annoying. People are always trying to solve my problems without possibly being able to understand what I’m going through.,Annoyance,Feeling annoyed,Feeling of being misunderstood,Feeling of being controlled,Resistance to advice
"My partner cheated on me. And, no, there is no alternative explanation, so stop asking that! He cheated, so our relationship was a lie!",Feeling of betrayal,Feeling of loss,Distorted perception of relationship,Feeling of being deceived,Emotional distress
"I did the measure you asked me to fill out. Honestly, I think I might have rated you lower than usual, but I’m not sure I want to talk about it.",Hesitation,Uncertainty,Reluctance to communicate,Discomfort,Ambivalence
"You’re the worst. You keep asking me to interpret the situation in different ways, like my perspective is always wrong. It’s like you’re calling me a liar. My last therapist would not have called me a liar.",Feeling of being criticised,Feeling of being invalidated,Feeling of being doubted,Feeling of being accused,Feeling of betrayal
"To be honest, I wouldn’t expect you to ever really get me.",Feeling of being misunderstood,Distrust of others,Feeling of isolation,Skeptical thought,Uncertainty about others' intentions
"Well, I guess the homework you’re suggesting makes some sense, but I’m also easily irritated lately . . . especially when things are unclear for me and when they’re overwhelming.",Irritability,Feeling overwhelmed,Lack of clarity,Difficulty understanding,Feeling of uncertainty
I’m not ready to try the next item on my exposure hierarchy.,Hesitation,Unwillingness,Reluctance,Lack of preparedness,Non-readiness
I don’t think I’m ready to do all of what you’re asking me to do before the next session.,Reluctance to engage,Hesitation,Readiness for change,Unwillingness to comply,Lack of preparedness
I don’t like this breathing stuff. The experience monitoring was more helpful.,Discomfort,Observation of behaviour,Feeling,Experience,Reported experience
You won’t believe what happened this week!,Reported experience,Statement,Expressive behavior,Communication,Verbal communication
"I know I said I would go to the event and start a conversation with new people, but I only managed to say “hello” to one person.",Difficulty initiating conversation,Incomplete task,Limited social interaction,Self-reported behaviour,Verbal communication
"I know the plan was to review my monitoring, but I learned yesterday that I might lose my job.",Feeling anxious,Feeling worried,Feeling apprehensive,Thought of job loss,Concern about future
"I’d go into what happened back then, but I know that we focus on the present in this therapy.",Reluctance to disclose,Awareness of therapeutic approach,Focusing,Communication difficulty,Self-monitoring of thoughts
I guess I haven’t brought up religion in here yet; I’ve been unsure about doing that.,Uncertainty about expressing religious beliefs,Hesitation,Reluctance,Apprehension,Lack of spontaneity
"I’m uneasy about doing the homework, living with my extended family in such a small place. It makes me uncomfortable.",Feeling of discomfort,Anxiety,Unease,Feeling of being bothered,Distress
"[Hopeless, after completing a progress monitoring measure] I think the scores on the measure you asked me to complete are consistent with my experience so far. It feels like things might actually be getting worse.",Feeling of hopelessness,Feeling of worsening,Negative mood,Feeling of discouragement,Subjective feeling of deterioration
I’ve learned some new things. But I still feel tense all the time. I can’t have a conversation with anyone without lashing out. I feel on edge and still can’t really relax.,Tension,Irritability,Restlessness,Difficulty relaxing,Aggressive behavior
[Matter of fact] I think my problems partly stem from the racism and disrespect that I experience at work.,Experience of discrimination,Feeling of being disrespected,Feeling of unfair treatment,Stress relating to employment,Observation of prejudiced behavior
I don’t think I can commit to coming here every week.,Hesitation,Uncertainty,Lack of commitment,Reluctance,Ambivalence
I wasn’t able to do the trauma homework. I’ve been feeling more depressed and sleeping a lot. I’ve been late to work a few days this week.,Difficulty adhering to treatment plan,Depressed mood,Excessive somnolence,Lateness,Inability to perform task
"I found this article about a breakthrough medication for anxiety, and it seems like something I could try.",Hope,Interest,Concern,Willingness,Information seeking
"To be honest, things haven’t improved as much as I expected.",Lack of improvement,Dissatisfaction,Disappointment,Unmet expectation,Reduced hope
