User Query,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5
I know the job interview is going to go poorly; they always do.,Negative thoughts about an upcoming event,Anxiety about a specific situation,Cognitive distortion (overestimation of potential negative outcomes),Lack of confidence in one's ability to succeed,Perceived lack of control over the outcome of an event
I don’t really know anyone who will be at this party. I know I’ll be miserable.,Social isolation,Negative emotional anticipation,Low self-esteem,Fear of social situations,Feelings of unhappiness
You talk about the importance of thoughts . . . I’m already very aware of my negative thoughts.,Negative thought,Dysfunctional thinking,Cognitive distortion,Unhelpful thinking pattern,Maladaptive cognitive process
"When we work through these thought records, it’s not hard to come up with alternative evidence and thoughts, but it feels artificial and doesn’t really make me feel better.",Unwarranted doubts,Lack of sense of relief,Perceived artificialness,Ineffective coping mechanism,Emotional distress
I was feeling hopeless and didn’t want to come in today.,hopelessness,lack of motivation,despondency,loss of interest in activities,negative emotional tone
How will focusing more on these negative thoughts and feelings make me feel better rather than just feel worse?,Ruminative thinking,Negative self-appraisal,Preoccupation with emotional distress,Cognitive avoidance,Emotional distress
"I don’t know... when things get intense, I just act. I don’t have any thoughts; I just act or react.",Impulsive behavior,Affective reaction without apparent rational thought process,Increased motor activity in response to stressful situation,Lack of reflective thinking preceding action or decision-making,Emotional response overriding cognitive processes
My boss’s evaluation of me was devastating. I’m at a loss. There is no other perspective on this.,Feelings of despair,Sense of hopelessness,Lack of confidence,Feeling overwhelmed,Sense of powerlessness
"You’re telling me that if my partner died, I should be fine with it?!",Denial of emotional impact,Anger response to bereavement,Resistance to the loss,Emotional non-acceptance,Grief reaction
"Why do you just keep asking questions, over and over again? It’s really frustrating not to get anything more direct from you.",Repetition compulsion,Anxiety about communication,Frustration response,Perception of lack of understanding or empathy,Sense of uncertainty or ambiguity
"I did what you suggested about my thoughts, and it really helped in the moment. Every time I had a negative thought, I just told myself the opposite.",Thought suppression,Cognitive reappraisal,Positive self-talk,Mental imagery,Self-reflection
"I don’t like this or find it helpful. My thoughts aren’t irrational or baseless, so I actually find it kind of invalidating and insulting.",Negative Attitude Towards Intervention,Perceived Lack of Relevance,Feelings of Invalidation,Emotional Distress,Resistance to Change
"I know I sometimes think in extremes, but what if the worst thing actually did happen? It could.",Catastrophizing,Negative Thought Pattern,Ruminative Thinking,Worrying,Fear of the Worst Happening
I feel like I’m getting the hang of objective monitoring.,Perception of self-improvement,Sense of accomplishment,Positive emotional state,,
I’m still trying to get the hang of identifying my thoughts. Should I plan for anything next week?,Cognitive processing difficulty,Uncertainty about future plans,Self-reflection or introspection,Mental effort or cognitive load,Worry or concern about planning
"OK, what do we do now that we’ve created an exposure hierarchy?",Anxiety Response,Fearfulness,Hyperarousal,Increased Alertness,Vigilance
What do we do next with this exposure thing?,Anxiety feeling,Uncertainty about the future,Confusion,Self-doubt,Fear of unknown outcomes
"[Curious, after emotion monitoring homework was assigned at the end of the previous session] Where should we start today?",Patient curiosity,Interest in emotional state self-assessment,Desire for emotional understanding or insight,Willingness to engage in emotional exploration,Inquisitive mood
I’m not sure I’m ready to do this on my own.,Uncertainty about self-efficacy,Doubt about personal capabilities,Fear of being overwhelmed,Anxiety about independence,Self-doubt about ability to cope
"I have a hard time with organization, so I’m worried about doing all of the homework correctly",Difficulty in planning,Impaired ability to prioritize tasks,Anxiety related to school performance,Worry about completing homework assignments correctly,Feelings of stress due to academic demands
I actually need to be out the door right now. Is there anything that I should do before our next session?,Anxiety related to time constraints,Feelings of frustration or anger associated with schedule limitations,Sense of urgency or pressure,Emotional distress due to perceived lack of control over schedule,Perception of being overwhelmed by tasks and responsibilities
I did some of what we talked about last week but forgot the forms.,Impaired memory for instructions,Lack of follow-through with treatment plans,Difficulty in remembering specific tasks,Inconsistent adherence to treatment regimens,Trouble recalling specific details
I was only able to do part of what we talked about last week.,Difficulty completing tasks,Decreased motivation,Impaired concentration,Reduced productivity,Feelings of frustration
I don’t expect this assignment to help.,Thought pattern suggesting a lack of motivation,Negative expectation regarding treatment outcome,Perception that an activity or task is unhelpful,Cynical attitude towards a situation or event,Lack of enthusiasm or interest in a task or activity
I’m too swamped; I don’t think I’ll have the time to do any homework.,Perceived overload,Lack of motivation,Time management difficulty,Cognitive overload,Feeling overwhelmed
I’m just not getting it. I don’t understand what you’re asking me to do for the homework.,Confusion,Difficulty understanding instructions,Sense of being overwhelmed,Struggle with comprehension,Feeling lost or uncertain
I just don’t think I can do this homework on my own.,Difficulty in completing tasks,Lack of confidence in abilities,Feeling overwhelmed,Sense of inadequacy,Self-doubt
"I successfully did the homework! However, it made me very nervous, so I had a few drinks beforehand. This is OK, right? I hope you don’t judge my drinking, like my wife and boss do.",Anxiety,Coping mechanism use,Self-consciousness,Stress response,Uncertainty
"Whenever I have trouble motivating to do the homework, I think of how happy I will feel telling you that I did it. Your approval means everything to me. I honestly think you’re the best therapist I’ve ever met.",Anticipatory pleasure,Motivational drive related to feedback and approval,Sense of accomplishment anticipation,Therapist-patient relationship quality assessment,Treatment motivation
"I didn’t do the homework. It didn’t seem like it was that important, to be honest.",Lack of motivation,Sense of reduced importance,Decision avoidance behavior,Impulsivity,Doubt or uncertainty about task or responsibility
Is this approach helpful for people like me?,Anxiety of uncertain origin,Cognitive uncertainty,Apprehensive behavior,Worry,Self-doubt
How does therapy work?,Client's perception of change,Therapist-client relationship,Client understanding of therapeutic goals,Client motivation for participation,Perceived effectiveness of therapy
I’ve never been in therapy before. What do we talk about here?,Assessment of psychological well-being,Discussion of mental health concerns,Exploration of personal values and goals,Identification of stressors or challenging situations,Initial emotional expression or sharing
I’ve never been in therapy before. Do we just talk about my past or upbringing?,Anxiety,Emotional Distress,Cognitive Processing Difficulty,Trauma Recall Difficulty,Information Seeking Behavior
I’m not sure I understand how talking about my feelings will help.,Anxiety,Difficulty articulating emotions,Resistance to emotional expression,Unwillingness to discuss personal feelings,Uncertainty about the utility of emotional disclosure
"I have a hard time with organization, so I’m worried about doing all of the homework correctly.",Poor planning,Difficulty with prioritization,Concerns about performance,Feelings of anxiety related to task completion,Impaired executive function
I’m not sure this is the right thing for me.,Doubt,Uncertainty,Ambivalence,Conflict of thoughts or feelings,Indecisiveness
"The things that you’re saying make sense. I can see how this way of working would be helpful to other people, but I’m not sure it is a good fit for me.",Uncertainty about the usefulness or applicability of an intervention,Doubt about the effectiveness of a treatment approach,Lack of confidence in using a particular strategy,Apprehension about adopting a new method,Perception that an approach may not be suitable for oneself
"I’ve had bad experiences in therapy before, and I’m unsure if it’s really helpful. How is this going to be different?",Uncertainty about treatment effectiveness,Doubt about the value of therapy,Unfavorable experience with previous therapy,Fear of ineffective treatment,Anxiety related to seeking mental health services
How long will it take for this to work? I don’t have a lot of time or money.,Anxiety about future,Worry about financial security,Perceived pressure,Uncertainty about outcome,Sense of urgency
I’ve had bad experiences in therapy before. My last therapist tried to make me talk about and visualize my past traumas. I ended up in the hospital! How can I know that I can trust you?,Resistance to exploring traumatic memories,Fear of emotional arousal,Distrust of therapists,Trauma recall leading to distress,Need for safety and control in therapeutic relationships
"I was abused when I was a child, and recently I can’t stop thinking about it. My boyfriend tries to help me be positive, but I can’t stop feeling depressed. Sometimes I think it would be easier for everyone if I was dead.",Recurrent involuntary thought of past traumatic event,Depressive thinking or rumination,Suicidal ideation,Traumatic memory recall,Intrusive memory of childhood trauma
"My doctor said I have to come see you about my “anger problem.” Sometimes when I get really angry, I lose control and hit people. I just get so angry when people say stupid things! Are you sure that you will be able to help me with this?",Uncontrolled aggression,Impulsivity,Irritability,Anger outburst,Hostility
"I really need to know why I am the way I am now. I think understanding my past and childhood is really important, but it sounds like this approach doesn’t get into any of that?",Intrusive Memories,Unresolved Emotional Issues,Dissatisfaction with Personal Life,Preoccupation with the Past,Self-Reflection
I’m not sure what to talk about today.,Anxiety,Apprehension,Uncertainty,Indecision,Confusion
"So, what’s our agenda for today?",,,,,
I don’t think I’m ready for working on this today.,Doubtful thinking,Lack of confidence,Unpreparedness,Cognitive hesitation,Indecisiveness
Sorry I’m so late. I had the wrong time in my calendar.,Difficulty with planning or organization,Inattention or distraction,Memory impairment,Cognitive error,Disorganization of thought process
"I’m not sure about an agenda. With my other therapist, I just kind of talked about whatever was on my mind.",Unstructured conversation,Spontaneous disclosure,Impromptu discussion,Free association,Stream-of-consciousness expression
"You’re the expert, so just tell me what to do today",Uncertainty about future plans,Need for guidance and reassurance,Increased anxiety about decision making,Request for support or advice,Lack of confidence in problem-solving abilities
"I know that the plan was to talk about exposure today, but something’s come up that I’d like to talk about first.",Anxiety,Concern,Preoccupation,Uncertainty,Resistance
My partner wants us to talk about something today.,Anxiety about communication with romantic partner,Apprehension about discussing personal matter,Concern about potential conflict in relationship,Difficulty initiating or maintaining conversation,Emotional apprehension preceding a significant discussion
I’m not sure this is the best use of my time today.,Anxiety,Uncertainty,Lack of confidence,Self-doubt,Apprehension
Wow. You won’t believe what happened this week. It’s a really long story . . .,,,,,
"This week has been terrible, and I don’t feel like talking today.",Abnormal emotional tone,Difficulty verbalizing emotions,Feelings of despair,Reduced interest in social interaction,Subjective experience of sadness
"I think our sessions have been very helpful. However, my depression is getting worse. On my drive to this session today. I pictured myself driving off a bridge. It honestly felt like a relief to imagine not having to work so hard to feel better anymore.",Suicidal ideation,Worsening depression symptoms,Cognitive preoccupation with self-harm,Desire to escape or discontinue,Hopelessness about the future
"The agenda sounds fine, I suppose. I don’t know. I don’t think this is working, so I’m not sure it matters.",Ambivalence,Doubt,Lack of Confidence,Uncertainty,Negative Attitude
"To be honest, the last couple of sessions I’ve been confused by our focus on my challenges. My family says I should just stay positive, smile more, and not think about anything negative. Do we have to discuss my challenges?",Confusion,Discomfort during interpersonal interactions,Anxiety related to uncertainty,Resistance to discussing certain topics,Cognitive distortion
I read an article on the internet that a new energy-healing technique can help people 10 times faster than CBT and is easy for therapists to learn. I brought a printout of the article with instructions. Can we talk about possibly trying that today?,Concern about complementary or alternative therapies,Interest in new or innovative treatments,Skepticism towards evidence-based treatments,Enthusiasm for unconventional or unproven methods,Request for consideration of non-standard therapeutic approaches
I just want to be happier.,Positive emotional tone,Satisfaction with life,Happiness feeling,Optimism trait,Well-being perception
Geez. I don’t even know where to start in picturing my happiness.,Anhedonia,Lack of pleasure or enjoyment,Difficulty envisioning positive outcomes,Cognitive impairment,Dysphoria
I just don’t want to feel anxious anymore. I’m tired of it.,Anxiety sensation,Desire for emotional change,Negative affective response,Perceived excessive worry,Sense of tension
How long will this take?,Anxiousness,Apprehension,Uncertainty about the future,Frustration,Impatience
"You’re the expert, so I’ll defer to what you think is best.",Apprehensive attitude,Lack of self-confidence,Submissive behavior,Dependence on others for decision-making,Self-doubt
I guess I was expecting that we’d just talk about whatever came to my mind on a given week.,Difficulty in verbalizing thoughts,Preoccupation with self-referential thinking,Apprehension or anxiety,Unspecified rumination,Inability to articulate concerns
I’m not sure I want to do homework or exercises in here.,Resistance to treatment,Lack of motivation,Reluctance to engage,Negative attitude towards therapeutic activity,Uncooperative behavior
I just can’t imagine anything changing. I feel so hopeless.,Feelings of hopelessness,Lack of motivation,Pessimistic outlook,Hopelessness,Loss of sense of purpose
I don’t think I want to do any exposure.,Resistance to treatment,Unwillingness to engage in therapy,Reluctance to participate in treatment,Skepticism about the benefits of treatment,Lack of motivation for change
"Honestly, my main problem is my partner.",Concern about romantic relationship,Dissatisfaction with current romantic partnership,Emotional distress related to interpersonal issues,Feelings of anxiety related to partner dynamics,Perception that personal relationships are unsatisfactory
"I want to get a job, find a new partner, lose weight, be happier and less anxious, be more outgoing, and work on some my grief issues.",Anxiety,Sadness,Grief Reaction,Low Self-Esteem,Social Avoidance Behavior
I think there’s a problem with my brain and I might just need medication.,Abnormal thought process,Altered sense of self,Anxiety,Fear or anxiety response,Perceived cognitive impairment
"I can’t commit to coming in here each week. My schedule is unpredictable, and I don’t have a car.",Unpredictable daily routine,Difficulty with scheduling,Transportation difficulties,Lack of commitment to follow-up appointments,Unstable or changing schedule
"I don’t think this is going to work, so I’m not sure setting goals matters.",Doubtful attitude,Cynicism,Lack of confidence in the effectiveness of a treatment plan,Uncertainty about the potential benefits of goal setting,Questioning the value or relevance of goal setting
You just need goals to write down for the insurance companies so you get paid for this.,Anxiety,Coping mechanism,Mental adjustment,Perceived lack of control,Resistance to treatment
It’s hard to come up with goals because I’m not really sure what we’re doing in here.,Uncertainty about the purpose of therapy,Lack of clarity regarding treatment objectives,Difficulty establishing specific goals for psychotherapy,Ambivalence about the direction or focus of counseling,Questioning or seeking clarification about the therapeutic process
"Well, I’m not really sure about it, but I guess I’ll give the thought record another shot if you think that’s best.",Difficulty initiating or maintaining a thought process,Uncertainty about one's mental state,Self-doubt regarding the effectiveness of a treatment approach,Ambivalence towards participating in a therapeutic activity,Cautiousness when considering a behavioral change
"I’m not sure where to start, or what to prioritize on today’s agenda. Sorry.",Ambivalence,Uncertainty about the future,Feeling overwhelmed,Apprehension,Self-doubt
"[Sad, withdrawn] I just don’t know what to say or do anymore . . . to you—or anyone.",Anhedonia,Lack of interest in usual activities,Affective distress,Impaired social interaction,Feeling hopeless
I feel like you’ve been hearing me wrong since we started. You don’t seem to understand what I mean. Are you even listening?,Perception that communication is impaired,Perception of lack of understanding or empathy,Sense of being unheard or ignored,Feeling misunderstood,Impression of poor communication
"That was a really abrupt ending last session. I know we only have an hour, but I was kind of in the middle of something. That’s been on my mind ever since. I even considered not coming today . . . I guess I’ve been a little pissed off about it.",Unresolved anger,Preoccupation with a recent event or interaction,Feelings of frustration,Difficulty in accepting a situation,Thoughts about not attending an appointment or session
"Are you all here today? No offense, doc, but your mind seems elsewhere.",Distracted mental state,Preoccupied mental state,Inattentive mental state,Detached mental state,Absent-mindedness
"Whelp, the homework was another big swing and miss. Made no sense. Can we not do that one again?",Difficulty understanding written materials,Frustration,Resignation,Cognitive overload,Disappointment
"I just don’t think you’re equipped to help me. The whole “cognitive triad” thing, or whatever you called it, seems bogus.",Unsatisfactory therapeutic relationship,Dissatisfaction with therapy,Perception of lack of helpfulness,Lack of confidence in therapist's abilities,Negative attitude towards therapy
"Now you just seem to be playing a psychologist . . . like the cliché ones on TV. But I guess you’re the expert, so tell me what’s next please.",Mentalization of an interaction,Perception of another's intentions,,,
My mother was trying to remind me to “check in” on my thoughts and breathing yesterday. So annoying. People are always trying to solve my problems without possibly being able to understand what I’m going through.,Anxiety or tension,Perception of others as intrusive,Frustration or irritability,Feelings of annoyance,Difficulty with emotional understanding by others
"My partner cheated on me. And, no, there is no alternative explanation, so stop asking that! He cheated, so our relationship was a lie!",Infidelity perceived,Trust violation experienced,Emotional betrayal felt,Relationship breakdown anticipated,Loss of emotional safety sensed
"I did the measure you asked me to fill out. Honestly, I think I might have rated you lower than usual, but I’m not sure I want to talk about it.",Anxiety Feeling,Ambivalence,Resistance to Therapy,Negative Emotional State,Difficulty in Disclosing Information
"You’re the worst. You keep asking me to interpret the situation in different ways, like my perspective is always wrong. It’s like you’re calling me a liar. My last therapist would not have called me a liar.",Negative self-talk,Perceived criticism or blame,Feeling belittled,Sense of being misunderstood,Emotional reactivity to perceived injustice
"To be honest, I wouldn’t expect you to ever really get me.",Anomalous perception of social relationships,Perception of emotional isolation,Sense of not being understood,Fear or anxiety about being misunderstood,Lack of confidence in ability to communicate effectively
"Well, I guess the homework you’re suggesting makes some sense, but I’m also easily irritated lately . . . especially when things are unclear for me and when they’re overwhelming.",Irritability,Overwhelm,Uncertainty anxiety,Resistance to effort related to mental task,Perceived stress
I’m not ready to try the next item on my exposure hierarchy.,Anxiety about exposure,Fear of failure,Resistance to treatment,Unwillingness to engage in exposure therapy,Apprehension
I don’t think I’m ready to do all of what you’re asking me to do before the next session.,Patient's perception of lack of preparedness,Patient's feelings of inadequacy,Patient's concerns about ability to meet expectations,Patient's sense of uncertainty about future actions,Patient's perceived barriers to goal achievement
I don’t like this breathing stuff. The experience monitoring was more helpful.,Anxiety,Frustration,Discomfort,Perceived Stress,Emotional Distress
You won’t believe what happened this week!,,,,,
"I know I said I would go to the event and start a conversation with new people, but I only managed to say “hello” to one person.",Lack of assertiveness,Fear or anxiety related to social interactions,Difficulty initiating conversations,Hesitation in expressing oneself,Self-perceived inadequate communication skills
"I know the plan was to review my monitoring, but I learned yesterday that I might lose my job.",Anxiety,Cognitive Distortion (Negative),Fear of Job Loss,Loss of Control,Uncertainty
"I’d go into what happened back then, but I know that we focus on the present in this therapy.",Abandonment concern,Avoidant behavior,Cognitive disconnection,Emotional avoidance,Inhibited recall
I guess I haven’t brought up religion in here yet; I’ve been unsure about doing that.,Ambivalence,Uncertainty,Reluctance to discuss religious beliefs,Cautious approach to sharing personal thoughts,Internal conflict regarding self-disclosure
"I’m uneasy about doing the homework, living with my extended family in such a small place. It makes me uncomfortable.",Anxiety caused by domestic circumstances,Social discomfort,Resentment towards living arrangements,Discomfort caused by physical environment,Inadequate personal space
"[Hopeless, after completing a progress monitoring measure] I think the scores on the measure you asked me to complete are consistent with my experience so far. It feels like things might actually be getting worse.",Anhedonia,Hopelessness,Negative emotional state,Perceived worsening of symptoms,Unpleasant experience
I’ve learned some new things. But I still feel tense all the time. I can’t have a conversation with anyone without lashing out. I feel on edge and still can’t really relax.,Anxiety,Tension,Impulsivity,Suspiciousness,Fearfulness
[Matter of fact] I think my problems partly stem from the racism and disrespect that I experience at work.,Racially motivated attitude,Workplace stress,Perceived discrimination,Negative emotional response to workplace situation,Feelings of disrespect
I don’t think I can commit to coming here every week.,Cognitive disorganization,Lack of motivation,Resistance to treatment,Unwillingness to comply with a plan,Difficulty making long-term commitments
I wasn’t able to do the trauma homework. I’ve been feeling more depressed and sleeping a lot. I’ve been late to work a few days this week.,Depressed mood,Increased sleep need,Impaired ability to fulfill social and professional responsibilities,Anhedonia,Trauma-related avoidance behavior
"I found this article about a breakthrough medication for anxiety, and it seems like something I could try.",Anxiety perception,Worrying,Mental preoccupation,,
"To be honest, things haven’t improved as much as I expected.",Dissatisfaction,Unrealized expectation,Negative emotional state,Pessimism,Disappointment
