User Query,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5
I’m not sure what to talk about today.,Uncertainty (attitude),Indecision (procedure),Ambivalence (psychological factor),Anxiety (emotion),Difficulty initiating social interaction (finding)
"So, what’s our agenda for today?",,,,,
I don’t think I’m ready for working on this today.,Lack of motivation to work,Work avoidance behavior,Feeling unready for task,Decreased productivity intent,Negative attitude towards work
Sorry I’m so late. I had the wrong time in my calendar.,Normal cognitive function - maintaining a calendar,Normative Time perception - normal awareness of time elapsed,,,
"I’m not sure about an agenda. With my other therapist, I just kind of talked about whatever was on my mind.",Verbal communication,Mental process evaluation,Cognitive content of speech,Thought process,Subjective experience assessment
"You’re the expert, so just tell me what to do today",,,,,
"I know that the plan was to talk about exposure today, but something’s come up that I’d like to talk about first.",Acknowledged plan of intervention discussed,Interruption of planned intervention,Patient initiative in therapy session topic selection,,
My partner wants us to talk about something today.,Talking about a specific topic,Anticipation (psychological process),Communication initiation intention,Interpersonal communication,Emotional preparation
I’m not sure this is the best use of my time today.,Feeling of being bored,Lack of motivation,Dissatisfaction with current situation,Unhappiness,Negative attitude towards activity
Wow. You won’t believe what happened this week. It’s a really long story . . .,,,,,
"This week has been terrible, and I don’t feel like talking today.",Feeling of sadness,Reduced amount of speech,Negative affective mood,Withdrawal from social interaction,Subjective feeling of unpleasantness
"I think our sessions have been very helpful. However, my depression is getting worse. On my drive to this session today. I pictured myself driving off a bridge. It honestly felt like a relief to imagine not having to work so hard to feel better anymore.",Feelings of hopelessness,Thoughts of suicide,Depressed mood,Passive ideation of self-harm,Reduced drive or motivation
"The agenda sounds fine, I suppose. I don’t know. I don’t think this is working, so I’m not sure it matters.",Lack of motivation,Ambivalence,Uncertainty,Doubt,Discontentment with situation
"To be honest, the last couple of sessions I’ve been confused by our focus on my challenges. My family says I should just stay positive, smile more, and not think about anything negative. Do we have to discuss my challenges?",Feeling of confusion,Negative thinking,Avoidance behavior,Pressure (psychological),Emotional suppression
I read an article on the internet that a new energy-healing technique can help people 10 times faster than CBT and is easy for therapists to learn. I brought a printout of the article with instructions. Can we talk about possibly trying that today?,Subjective emotional experience of well-being,Belief in beneficial effects of energy healing technique,Interest in learning new therapeutic technique,Expectation for improved treatment efficacy with energy-healing technique,Request for discussion about implementing energy-healing technique
I just want to be happier.,Positive affective quality of well-being,Emotional well-being,Subjective happiness,Psychological well-being,Happiness
Geez. I don’t even know where to start in picturing my happiness.,Happiness,Subjective well-being,Positive affect,Experience of joy,Emotional positivity
I just don’t want to feel anxious anymore. I’m tired of it.,Feeling of anxiety,Anxiety-like mood,Disturbance in the mood state,Feeling of fatigue,Tiredness
How long will this take?,,,,,
"You’re the expert, so I’ll defer to what you think is best.",,,,,
I guess I was expecting that we’d just talk about whatever came to my mind on a given week.,Expectation of conversation,Thought about topic of discussion,Unfulfilled expectation (procedural or therapeutic),,
I’m not sure I want to do homework or exercises in here.,Denial (psychological),Avoidance behavior,Anhedonia (mood),Lack of motivation,Reduced study capacity
I just can’t imagine anything changing. I feel so hopeless.,Feelings of hopelessness,Lack of future thought,,,
I don’t think I want to do any exposure.,Lack of motivation for exposure,Avoidance of feared situations,Anhedonia,Negative expectancy for outcome,Motivational deficit
"Honestly, my main problem is my partner.",Partner relationship problem,Emotional distress related to interpersonal relationship,Subjective feeling of unhappiness related to interpersonal relationship,Anxiety about partner or relationship,Subjective sense of burden related to interpersonal relationship
"I want to get a job, find a new partner, lose weight, be happier and less anxious, be more outgoing, and work on some my grief issues.",Expectation for employment,Desire for intimate relationship,Desire to lose weight,Emotional disturbance (disordered mood),Social inhibition
I think there’s a problem with my brain and I might just need medication.,Feeling of abnormality about self,Subjective feeling of need for psychotropic substance,Cognitive symptom of mental health disorder,,
"I can’t commit to coming in here each week. My schedule is unpredictable, and I don’t have a car.",Inability to Commit,Irregular Attendance,Transportation Problem,,
"I don’t think this is going to work, so I’m not sure setting goals matters.",Lack of motivation,Cognitive inflexibility,Pessimistic attitude,Ambivalence,Doubt (psychological)
You just need goals to write down for the insurance companies so you get paid for this.,Goal-directed behavior,Motivation to comply with rules,,,
It’s hard to come up with goals because I’m not really sure what we’re doing in here.,Lack of goal direction,Uncertainty (procedural aspect),Ambiguity (communication process),Cognitive inflexibility,Lack of clarity (procedural aspect)
"Well, I’m not really sure about it, but I guess I’ll give the thought record another shot if you think that’s best.",Self-management of mental health - Self-monitoring of thoughts and feelings,Anxiety - Fear or apprehension,Uncertainty - Lack of certainty about the future,Decision making - Choosing among alternatives,Cognitive behavioral therapy (CBT) - Recording thoughts and feelings
"I’m not sure where to start, or what to prioritize on today’s agenda. Sorry.",Ambiguity about purpose,Decreased priority setting,Uncertainty (finding),Lack of direction (behavior),Emotional distress (finding)
"[Sad, withdrawn] I just don’t know what to say or do anymore . . . to you—or anyone.",Feeling of sadness,Withdrawal,Speech disturbance,,
I feel like you’ve been hearing me wrong since we started. You don’t seem to understand what I mean. Are you even listening?,Feeling of being misunderstood,Feeling of lack of understanding by listener,Inadequate communication with healthcare professional,Expressive communication impaired,Perception of poor communication
"That was a really abrupt ending last session. I know we only have an hour, but I was kind of in the middle of something. That’s been on my mind ever since. I even considered not coming today . . . I guess I’ve been a little pissed off about it.",Negative affective attitude,Affect lability,Thought disturbance,Anger,Anxiety
"Are you all here today? No offense, doc, but your mind seems elsewhere.",Mind wandering,Distraction,Inattention,Lack of concentration,Decreased attentiveness
"Whelp, the homework was another big swing and miss. Made no sense. Can we not do that one again?",Feeling of inadequacy,Frustration,Cognitive dysfunction,Learning difficulty,Negative affect related to task performance
"I just don’t think you’re equipped to help me. The whole “cognitive triad” thing, or whatever you called it, seems bogus.",Lack of insight,Negative attributional style,Dysfunctional thought content,,
"Now you just seem to be playing a psychologist . . . like the cliché ones on TV. But I guess you’re the expert, so tell me what’s next please.",Feeling of being mimicked,Perception of being stereotyped,Self-consciousness under scrutiny,Feeling misunderstood,Experience of being criticized
My mother was trying to remind me to “check in” on my thoughts and breathing yesterday. So annoying. People are always trying to solve my problems without possibly being able to understand what I’m going through.,Feeling of annoyance,Self-consciousness about mental process,Sense of others attempting problem solving,Feeling of being misunderstood,Negative attitude towards others' help offers
"My partner cheated on me. And, no, there is no alternative explanation, so stop asking that! He cheated, so our relationship was a lie!",Feeling betrayed,Feeling deceived,Affected relationship dissatisfaction,Increased emotional distress,Anger with a partner
"I did the measure you asked me to fill out. Honestly, I think I might have rated you lower than usual, but I’m not sure I want to talk about it.",Self-perceived inadequacy,Negative self-evaluation (phenomenon),Uncertainty (psychological state),Feeling of reluctance to talk,Rating lower than usual (phenomenon)
"You’re the worst. You keep asking me to interpret the situation in different ways, like my perspective is always wrong. It’s like you’re calling me a liar. My last therapist would not have called me a liar.",Suspected self-deprecation,Interpreted negatively by significant other,Perceived lack of empathy from therapist,Feeling belittled or criticized,Subjective feeling of being falsely accused
"To be honest, I wouldn’t expect you to ever really get me.",Subjective feeling of being misunderstood,Verbal expression of low self-esteem,,,
"Well, I guess the homework you’re suggesting makes some sense, but I’m also easily irritated lately . . . especially when things are unclear for me and when they’re overwhelming.",Irritability,Frustration,Anxiety,Overwhelmed,Unclear thinking
I’m not ready to try the next item on my exposure hierarchy.,Fear of new situation,Reluctance to participate in treatment,,,
I don’t think I’m ready to do all of what you’re asking me to do before the next session.,Feeling of insufficiency,Anxiety about future,Mental preparation hesitation,Cognitive readiness deficit,Fear of task difficulty
I don’t like this breathing stuff. The experience monitoring was more helpful.,Unwillingness to perform deep breathing exercises,Negative affect towards respiratory therapy,Subjective feeling of dislike,Preference for monitoring over deep breathing exercises,
You won’t believe what happened this week!,Abnormal feeling of excitement,Affected affective behavior,Experience of surprise,Experience of unusual event,Increased level of arousal
"I know I said I would go to the event and start a conversation with new people, but I only managed to say “hello” to one person.",Feeling of social inadequacy,Limited social interaction,Avoidance of social interaction,Difficulty in initiating social interaction,Fear of social situations
"I know the plan was to review my monitoring, but I learned yesterday that I might lose my job.",Ambient stimuli perception abnormal,Emotional lability,Fear (psychological state),Job loss concern,Mood swings
"I’d go into what happened back then, but I know that we focus on the present in this therapy.",Focussed attention (body structure),Present-oriented thinking (cognitive function),Anxiety (neuropsychiatric process),Avoidance behavior (behavior),Inhibition (psychological process)
I guess I haven’t brought up religion in here yet; I’ve been unsure about doing that.,Religious or spiritual uncertainty (finding),Reluctance to discuss religious or spiritual issues (finding),,,
"I’m uneasy about doing the homework, living with my extended family in such a small place. It makes me uncomfortable.",Anxiety about schoolwork,Feeling of being cramped or confined,Uncomfortableness,Stress related to living arrangements,Unease
"[Hopeless, after completing a progress monitoring measure] I think the scores on the measure you asked me to complete are consistent with my experience so far. It feels like things might actually be getting worse.",Feeling of hopelessness,Perceived worsening of condition,,,
I’ve learned some new things. But I still feel tense all the time. I can’t have a conversation with anyone without lashing out. I feel on edge and still can’t really relax.,Sensation abnormality of tension,Emotional lability,Aggressiveness (behavior),Anxiousness,Restlessness
[Matter of fact] I think my problems partly stem from the racism and disrespect that I experience at work.,Experience of racial discrimination,Experience of workplace disrespect,Emotional distress due to racism,Work-related psychological stress,Negative affect related to workplace environment
I don’t think I can commit to coming here every week.,Lack of motivation for activities,Reluctance to attend,Ambivalence about attending,,
I wasn’t able to do the trauma homework. I’ve been feeling more depressed and sleeping a lot. I’ve been late to work a few days this week.,Feeling of depression,Insomnia,Failure to carry out tasks,Delayed onset or late arrival,Absenteeism from work
"I found this article about a breakthrough medication for anxiety, and it seems like something I could try.",Anxiety,Medication-induced anxiety,Response to therapeutic medication (anxiolytic),Anticipation of therapeutic effect,Medication-seeking behavior
"To be honest, things haven’t improved as much as I expected.",Negative affective valence experienced,Unfulfilled expectation experienced,Decreased mood,,
